ticket_id,n_events,n_status_changes,reopened_from_log
TCK-000001,3,2,0
TCK-000002,3,2,0
TCK-000003,3,2,0
TCK-000004,3,2,0
TCK-000005,3,2,0
TCK-000006,3,2,0
TCK-000007,3,2,0
TCK-000008,3,2,0
TCK-000009,3,2,0
TCK-000010,3,2,0
TCK-000011,3,2,0
TCK-000012,3,2,0
TCK-000013,3,2,0
TCK-000014,3,2,0
TCK-000015,3,2,0
TCK-000016,3,2,0
TCK-000017,3,2,0
TCK-000018,3,2,0
TCK-000019,3,2,0
TCK-000020,3,2,0
TCK-000021,3,2,0
TCK-000022,3,2,0
TCK-000023,4,3,1
TCK-000024,3,2,0
TCK-000025,3,2,0
TCK-000026,3,2,0
TCK-000027,3,2,0
TCK-000028,3,2,0
TCK-000029,3,2,0
TCK-000030,3,2,0
TCK-000031,3,2,0
TCK-000032,3,2,0
TCK-000033,3,2,0
TCK-000034,3,2,0
TCK-000035,3,2,0
TCK-000036,3,2,0
TCK-000037,3,2,0
TCK-000038,3,2,0
TCK-000039,3,2,0
TCK-000040,4,3,1
TCK-000041,3,2,0
TCK-000042,3,2,0
TCK-000043,3,2,0
TCK-000044,3,2,0
TCK-000045,3,2,0
TCK-000046,4,3,1
TCK-000047,3,2,0
TCK-000048,3,2,0
TCK-000049,3,2,0
TCK-000050,3,2,0
TCK-000051,3,2,0
TCK-000052,4,3,1
TCK-000053,3,2,0
TCK-000054,3,2,0
TCK-000055,3,2,0
TCK-000056,3,2,0
TCK-000057,4,3,1
TCK-000058,3,2,0
TCK-000059,3,2,0
TCK-000060,3,2,0
TCK-000061,3,2,0
TCK-000062,3,2,0
TCK-000063,3,2,0
TCK-000064,3,2,0
TCK-000065,4,3,1
TCK-000066,3,2,0
TCK-000067,3,2,0
TCK-000068,3,2,0
TCK-000069,3,2,0
TCK-000070,3,2,0
TCK-000071,3,2,0
TCK-000072,3,2,0
TCK-000073,3,2,0
TCK-000074,3,2,0
TCK-000075,3,2,0
TCK-000076,3,2,0
TCK-000077,3,2,0
TCK-000078,4,3,1
TCK-000079,3,2,0
TCK-000080,3,2,0
TCK-000081,3,2,0
TCK-000082,3,2,0
TCK-000083,3,2,0
TCK-000084,3,2,0
TCK-000085,3,2,0
TCK-000086,3,2,0
TCK-000087,3,2,0
TCK-000088,3,2,0
TCK-000089,3,2,0
TCK-000090,4,3,1
TCK-000091,3,2,0
TCK-000092,3,2,0
TCK-000093,3,2,0
TCK-000094,3,2,0
TCK-000095,3,2,0
TCK-000096,3,2,0
TCK-000097,3,2,0
TCK-000098,3,2,0
