ticket_id,channel,product,category,priority,customer_tier,region,backlog_at_creation,first_response_minutes,reopened,created_hour,created_weekday,created_month,sla_breach,body_len,word_count,num_question,num_exclam,upper_ratio,urgency_hits,kw_refund,kw_cancel,kw_error,n_events,n_status_changes,reopened_from_log
TCK-000001,Telefone,App Mobile,Dúvida / Como Fazer,Média,Premium,Norte,46,157.4,0,13,4,9,0,56,10,1,0,0.0217,0,0,0,0,3,2,0
TCK-000002,Email,Relatórios,Bug / Defeito,Baixa,Basic,Sul,17,213.1,0,7,6,3,0,61,11,0,0,0.0408,0,0,0,1,3,2,0
TCK-000003,Email,Relatórios,Dúvida / Como Fazer,Alta,Enterprise,Nordeste,49,79.9,0,10,5,10,0,101,17,1,0,0.0244,0,0,0,0,3,2,0
TCK-000004,Email,Faturamento,Bug / Defeito,Baixa,Premium,Norte,41,200.4,0,20,5,10,0,61,11,0,0,0.0408,0,0,0,1,3,2,0
TCK-000005,Telefone,Integrações,Bug / Defeito,Média,Premium,Centro-Oeste,23,60.3,0,3,5,10,0,61,10,0,0,0.02,1,0,0,1,3,2,0
TCK-000006,Formulário Web,Relatórios,Problema Técnico,Média,Basic,Sudeste,40,164.3,0,13,0,6,0,161,27,0,0,0.0227,2,0,0,1,3,2,0
TCK-000007,Email,Faturamento,Dúvida / Como Fazer,Média,Basic,Sudeste,6,103.8,0,6,2,12,0,57,10,1,0,0.0213,0,0,0,0,3,2,0
TCK-000008,Email,API,Dúvida / Como Fazer,Média,Free,Sul,37,147.6,0,23,6,9,0,57,10,1,0,0.0213,0,0,0,0,3,2,0
TCK-000009,Chat,Faturamento,Faturamento,Média,Free,Norte,58,93.6,0,16,0,3,0,62,11,0,0,0.02,1,1,0,0,3,2,0
TCK-000010,Formulário Web,Plataforma Web,Acesso e Conta,Crítica,Basic,Norte,37,31.9,0,23,1,9,0,64,9,0,0,0.037,1,0,0,0,3,2,0
TCK-000011,Email,Integrações,Solicitação de Recurso,Baixa,Basic,Sudeste,61,170.4,0,0,0,3,0,123,21,0,0,0.03,0,0,0,0,3,2,0
TCK-000012,Redes Sociais,Integrações,Solicitação de Recurso,Alta,Free,Nordeste,40,69.8,0,12,3,11,1,57,9,1,0,0.0208,0,0,0,0,3,2,0
TCK-000013,Formulário Web,API,Solicitação de Recurso,Média,Free,Sudeste,79,298.5,0,11,3,11,1,57,9,1,0,0.0208,0,0,0,0,3,2,0
TCK-000014,Email,Relatórios,Faturamento,Alta,Free,Sudeste,27,30.0,0,5,2,7,1,177,30,0,0,0.028,0,0,0,0,3,2,0
TCK-000015,Telefone,Plataforma Web,Faturamento,Baixa,Premium,Sudeste,38,253.1,0,8,6,6,0,62,11,0,0,0.02,1,1,0,0,3,2,0
TCK-000016,Email,Faturamento,Acesso e Conta,Média,Basic,Norte,85,141.1,0,9,4,1,0,64,12,0,0,0.0192,0,0,0,0,3,2,0
TCK-000017,Telefone,Relatórios,Dúvida / Como Fazer,Baixa,Basic,Sul,14,518.8,0,19,2,4,0,53,9,0,0,0.0227,0,0,0,0,3,2,0
TCK-000018,Telefone,API,Solicitação de Recurso,Baixa,Free,Norte,25,179.6,0,8,6,4,0,57,9,1,0,0.0208,0,0,0,0,3,2,0
TCK-000019,Telefone,Faturamento,Problema Técnico,Baixa,Basic,Nordeste,30,736.8,0,7,4,12,0,153,27,0,0,0.0242,0,0,0,0,3,2,0
TCK-000020,Email,Plataforma Web,Acesso e Conta,Média,Basic,Sul,20,107.6,0,11,2,5,0,64,12,0,0,0.0192,0,0,0,0,3,2,0
TCK-000021,Chat,Relatórios,Dúvida / Como Fazer,Baixa,Basic,Sul,33,240.1,0,5,1,10,0,149,25,0,0,0.0246,0,0,0,0,3,2,0
TCK-000022,Email,Faturamento,Problema Técnico,Média,Premium,Sul,73,226.9,0,18,5,11,0,55,10,0,0,0.0222,0,0,0,0,3,2,0
TCK-000023,Telefone,Integrações,Problema Técnico,Alta,Free,Sul,65,54.6,1,15,6,12,1,55,10,0,0,0.0222,0,0,0,0,4,3,1
TCK-000024,Telefone,Plataforma Web,Dúvida / Como Fazer,Crítica,Free,Norte,50,41.8,0,5,0,3,0,91,15,1,0,0.0267,1,0,0,0,3,2,0
TCK-000025,Telefone,Faturamento,Acesso e Conta,Baixa,Free,Centro-Oeste,49,143.7,0,0,1,3,0,64,12,0,0,0.0192,0,0,0,0,3,2,0
TCK-000026,Telefone,App Mobile,Cancelamento,Média,Basic,Centro-Oeste,67,174.3,0,16,0,5,0,51,8,0,0,0.0233,1,0,0,1,3,2,0
TCK-000027,Telefone,Integrações,Dúvida / Como Fazer,Baixa,Basic,Norte,29,246.1,0,17,6,9,0,56,10,1,0,0.0217,0,0,0,0,3,2,0
TCK-000028,Email,Integrações,Solicitação de Recurso,Baixa,Premium,Sul,43,247.0,0,19,2,2,0,123,21,0,0,0.03,0,0,0,0,3,2,0
TCK-000029,Email,Faturamento,Dúvida / Como Fazer,Baixa,Free,Sudeste,9,272.6,0,13,3,12,0,57,10,1,0,0.0213,0,0,0,0,3,2,0
TCK-000030,Chat,Integrações,Acesso e Conta,Baixa,Free,Sudeste,41,304.1,0,9,5,2,0,64,12,0,0,0.0192,0,0,0,0,3,2,0
TCK-000031,Formulário Web,API,Acesso e Conta,Média,Free,Sudeste,42,125.3,0,11,4,5,0,54,10,0,0,0.0233,0,0,0,0,3,2,0
TCK-000032,Telefone,API,Problema Técnico,Média,Premium,Sul,58,130.1,0,12,2,6,0,153,27,0,0,0.0242,0,0,0,0,3,2,0
TCK-000033,Email,Relatórios,Dúvida / Como Fazer,Média,Basic,Centro-Oeste,24,158.4,0,23,1,12,0,57,10,1,0,0.0213,0,0,0,0,3,2,0
TCK-000034,Chat,App Mobile,Dúvida / Como Fazer,Média,Premium,Centro-Oeste,34,111.3,0,3,5,7,0,53,9,0,0,0.0227,0,0,0,0,3,2,0
TCK-000035,Email,Plataforma Web,Problema Técnico,Alta,Basic,Norte,24,47.0,0,23,0,10,0,90,16,0,0,0.0274,1,0,0,0,3,2,0
TCK-000036,Email,Integrações,Bug / Defeito,Baixa,Basic,Nordeste,37,230.8,0,23,1,1,0,61,11,0,0,0.0408,0,0,0,1,3,2,0
TCK-000037,Formulário Web,Relatórios,Faturamento,Baixa,Free,Sul,54,487.8,0,4,5,3,0,59,9,1,0,0.0204,0,0,0,0,3,2,0
TCK-000038,Email,Integrações,Acesso e Conta,Baixa,Enterprise,Nordeste,50,190.1,0,22,2,3,0,171,25,0,0,0.0352,2,0,0,0,3,2,0
TCK-000039,Chat,Faturamento,Dúvida / Como Fazer,Alta,Free,Centro-Oeste,40,44.4,0,23,5,12,0,56,10,1,0,0.0217,0,0,0,0,3,2,0
TCK-000040,Email,Plataforma Web,Bug / Defeito,Alta,Basic,Nordeste,40,67.9,1,14,5,4,1,95,15,0,0,0.0256,2,0,0,1,4,3,1
TCK-000041,Formulário Web,Integrações,Cancelamento,Média,Basic,Sul,24,75.5,0,22,0,4,0,145,23,0,0,0.025,2,0,0,1,3,2,0
TCK-000042,Telefone,Relatórios,Cancelamento,Crítica,Free,Sudeste,28,20.8,0,17,3,1,1,55,8,0,0,0.0217,1,0,1,0,3,2,0
TCK-000043,Redes Sociais,API,Acesso e Conta,Média,Premium,Sul,39,188.4,0,2,1,1,0,64,9,0,0,0.037,1,0,0,0,3,2,0
TCK-000044,Telefone,App Mobile,Solicitação de Recurso,Baixa,Free,Sul,40,371.9,0,9,6,12,0,40,7,0,0,0.0303,0,0,0,0,3,2,0
TCK-000045,Telefone,API,Problema Técnico,Alta,Free,Nordeste,31,96.7,0,15,6,7,1,59,10,0,0,0.0204,1,0,0,1,3,2,0
TCK-000046,Telefone,Plataforma Web,Faturamento,Crítica,Premium,Nordeste,26,21.8,1,2,5,3,1,90,16,0,1,0.0278,1,0,0,0,4,3,1
TCK-000047,Email,API,Cancelamento,Alta,Basic,Sul,60,62.9,0,13,3,7,0,55,8,0,0,0.0217,1,0,1,0,3,2,0
