ticket_id,body_len,word_count,num_question,num_exclam,upper_ratio,urgency_hits,kw_refund,kw_cancel,kw_error
TCK-000001,56,10,1,0,0.0217,0,0,0,0
TCK-000002,61,11,0,0,0.0408,0,0,0,1
TCK-000003,101,17,1,0,0.0244,0,0,0,0
TCK-000004,61,11,0,0,0.0408,0,0,0,1
TCK-000005,61,10,0,0,0.02,1,0,0,1
TCK-000006,161,27,0,0,0.0227,2,0,0,1
TCK-000007,57,10,1,0,0.0213,0,0,0,0
TCK-000008,57,10,1,0,0.0213,0,0,0,0
TCK-000009,62,11,0,0,0.02,1,1,0,0
TCK-000010,64,9,0,0,0.037,1,0,0,0
TCK-000011,123,21,0,0,0.03,0,0,0,0
TCK-000012,57,9,1,0,0.0208,0,0,0,0
TCK-000013,57,9,1,0,0.0208,0,0,0,0
TCK-000014,177,30,0,0,0.028,0,0,0,0
TCK-000015,62,11,0,0,0.02,1,1,0,0
TCK-000016,64,12,0,0,0.0192,0,0,0,0
TCK-000017,53,9,0,0,0.0227,0,0,0,0
TCK-000018,57,9,1,0,0.0208,0,0,0,0
TCK-000019,153,27,0,0,0.0242,0,0,0,0
TCK-000020,64,12,0,0,0.0192,0,0,0,0
TCK-000021,149,25,0,0,0.0246,0,0,0,0
TCK-000022,55,10,0,0,0.0222,0,0,0,0
TCK-000023,55,10,0,0,0.0222,0,0,0,0
TCK-000024,91,15,1,0,0.0267,1,0,0,0
TCK-000025,64,12,0,0,0.0192,0,0,0,0
TCK-000026,51,8,0,0,0.0233,1,0,0,1
TCK-000027,56,10,1,0,0.0217,0,0,0,0
TCK-000028,123,21,0,0,0.03,0,0,0,0
TCK-000029,57,10,1,0,0.0213,0,0,0,0
TCK-000030,64,12,0,0,0.0192,0,0,0,0
TCK-000031,54,10,0,0,0.0233,0,0,0,0
TCK-000032,153,27,0,0,0.0242,0,0,0,0
TCK-000033,57,10,1,0,0.0213,0,0,0,0
TCK-000034,53,9,0,0,0.0227,0,0,0,0
TCK-000035,90,16,0,0,0.0274,1,0,0,0
TCK-000036,61,11,0,0,0.0408,0,0,0,1
TCK-000037,59,9,1,0,0.0204,0,0,0,0
TCK-000038,171,25,0,0,0.0352,2,0,0,0
TCK-000039,56,10,1,0,0.0217,0,0,0,0
TCK-000040,95,15,0,0,0.0256,2,0,0,1
TCK-000041,145,23,0,0,0.025,2,0,0,1
TCK-000042,55,8,0,0,0.0217,1,0,1,0
TCK-000043,64,9,0,0,0.037,1,0,0,0
TCK-000044,40,7,0,0,0.0303,0,0,0,0
TCK-000045,59,10,0,0,0.0204,1,0,0,1
TCK-000046,90,16,0,1,0.0278,1,0,0,0
TCK-000047,55,8,0,0,0.0217,1,0,1,0
TCK-000048,40,7,0,0,0.0303,0,0,0,0
TCK-000049,57,10,1,0,0.0213,0,0,0,0
TCK-000050,151,27,0,0,0.025,0,0,0,0
TCK-000051,157,25,2,0,0.0231,0,0,0,0
TCK-000052,55,8,0,0,0.0217,1,0,1,0
TCK-000053,40,7,0,0,0.0303,0,0,0,0
TCK-000054,64,12,0,0,0.0192,0,0,0,0
TCK-000055,51,8,0,0,0.0233,1,0,0,1
TCK-000056,40,7,0,0,0.0303,0,0,0,0
TCK-000057,61,10,0,0,0.02,1,0,0,1
TCK-000058,95,16,0,0,0.039,1,0,0,1
TCK-000059,88,15,0,0,0.0282,1,0,0,0
TCK-000060,54,10,0,0,0.0233,0,0,0,0
TCK-000061,54,10,0,0,0.0233,0,0,0,0
TCK-000062,64,9,0,0,0.037,1,0,0,0
TCK-000063,161,27,0,0,0.0227,2,0,0,1
TCK-000064,101,19,0,1,0.025,1,0,0,0
TCK-000065,61,10,0,0,0.02,1,0,0,1
TCK-000066,61,11,0,0,0.0408,0,0,0,1
TCK-000067,133,23,0,0,0.0278,0,0,0,0
TCK-000068,46,9,0,0,0.0303,2,0,0,1
TCK-000069,53,9,0,0,0.0227,0,0,0,0
TCK-000070,55,10,0,0,0.0222,0,0,0,0
TCK-000071,54,10,0,0,0.0233,0,0,0,0
TCK-000072,46,9,0,0,0.0303,2,0,0,1
TCK-000073,51,8,0,0,0.0233,1,0,0,1
TCK-000074,55,8,0,0,0.0638,0,0,0,0
TCK-000075,51,8,0,0,0.0233,1,0,0,1
TCK-000076,199,34,2,0,0.0248,0,0,0,0
TCK-000077,153,23,0,0,0.0547,0,0,0,0
TCK-000078,61,10,0,0,0.02,1,0,0,1
TCK-000079,93,14,1,0,0.026,1,0,0,0
TCK-000080,61,10,0,0,0.02,1,0,0,1
TCK-000081,64,12,0,0,0.0192,0,0,0,0
TCK-000082,64,12,0,0,0.0192,0,0,0,0
TCK-000083,161,27,0,0,0.0227,2,0,0,1
TCK-000084,51,8,0,0,0.0233,1,0,0,1
TCK-000085,161,25,2,0,0.0227,0,0,0,0
TCK-000086,59,9,1,0,0.0204,0,0,0,0
TCK-000087,56,11,0,0,0.0222,0,0,0,0
TCK-000088,99,18,0,1,0.0256,1,0,0,0
TCK-000089,103,17,0,0,0.0238,1,0,0,1
TCK-000090,46,9,0,0,0.0303,2,0,0,1
TCK-000091,153,23,0,0,0.0547,0,0,0,0
TCK-000092,56,11,0,0,0.0222,0,0,0,0
TCK-000093,145,23,0,0,0.025,2,0,0,1
TCK-000094,167,29,0,0,0.0224,2,1,0,0
TCK-000095,55,8,0,0,0.0638,0,0,0,0
TCK-000096,57,10,1,0,0.0213,0,0,0,0
TCK-000097,54,10,0,0,0.0233,0,0,0,0
TCK-000098,61,10,0,0,0.02,1,0,1,0
TCK-000099,46,9,0,0,0.0303,2,0,0,1
TCK-000100,61,11,0,0,0.0408,0,0,0,1
TCK-000101,61,10,0,0,0.02,1,0,0,1
TCK-000102,51,8,0,0,0.0233,1,0,0,1
TCK-000103,59,9,1,0,0.0204,0,0,0,0
TCK-000104,56,11,0,0,0.0222,0,0,0,0
TCK-000105,74,12,0,0,0.0328,1,0,0,0
TCK-000106,57,9,1,0,0.0208,0,0,0,0
TCK-000107,105,17,0,0,0.0235,1,0,0,1
TCK-000108,61,10,0,0,0.02,1,0,0,1
TCK-000109,64,9,0,0,0.037,1,0,0,0
TCK-000110,100,18,0,0,0.025,0,0,0,0
TCK-000111,55,8,0,0,0.0217,1,0,1,0
TCK-000112,55,8,0,0,0.0638,0,0,0,0
TCK-000113,55,10,0,0,0.0222,0,0,0,0
TCK-000114,61,10,0,0,0.02,1,0,1,0
TCK-000115,55,8,0,0,0.0638,0,0,0,0
TCK-000116,64,12,0,0,0.0192,0,0,0,0
TCK-000117,53,9,0,0,0.0227,0,0,0,0
TCK-000118,153,23,0,0,0.0238,2,0,1,0
TCK-000119,40,7,0,0,0.0303,0,0,0,0
TCK-000120,55,8,0,0,0.0638,0,0,0,0
TCK-000121,64,9,0,0,0.037,1,0,0,0
TCK-000122,62,11,0,0,0.02,1,1,0,0
TCK-000123,64,9,0,0,0.037,1,0,0,0
TCK-000124,56,11,0,0,0.0222,0,0,0,0
TCK-000125,40,7,0,0,0.0303,0,0,0,0
TCK-000126,57,10,1,0,0.0213,0,0,0,0
TCK-000127,56,10,1,0,0.0217,0,0,0,0
TCK-000128,64,9,0,0,0.037,1,0,0,0
TCK-000129,64,9,0,0,0.037,1,0,0,0
TCK-000130,56,11,0,0,0.0222,0,0,0,0
TCK-000131,61,10,0,0,0.02,1,0,1,0
TCK-000132,55,10,0,0,0.0222,0,0,0,0
TCK-000133,51,8,0,0,0.0233,1,0,0,1
TCK-000134,103,16,1,0,0.0238,0,0,0,0
TCK-000135,62,11,0,0,0.02,1,1,0,0
TCK-000136,64,12,0,0,0.0192,0,0,0,0
TCK-000137,51,8,0,0,0.0233,1,0,0,1
TCK-000138,61,10,0,0,0.02,1,0,1,0
TCK-000139,46,9,0,0,0.0303,2,0,0,1
TCK-000140,135,25,0,0,0.03,4,0,0,1
TCK-000141,167,28,0,0,0.0294,1,0,0,0
TCK-000142,153,27,0,0,0.0242,0,0,0,0
TCK-000143,59,9,1,0,0.0204,0,0,0,0
TCK-000144,53,9,0,0,0.0227,0,0,0,0
TCK-000145,80,14,0,0,0.0328,3,0,0,1
TCK-000146,55,10,0,0,0.0222,0,0,0,0
TCK-000147,64,9,0,0,0.037,1,0,0,0
TCK-000148,135,25,0,0,0.03,4,0,0,1
TCK-000149,61,10,0,0,0.02,1,0,0,1
TCK-000150,64,9,0,0,0.037,1,0,0,0
TCK-000151,56,10,1,0,0.0217,0,0,0,0
TCK-000152,155,27,2,0,0.0238,0,0,0,0
TCK-000153,61,11,0,0,0.0408,0,0,0,1
TCK-000154,64,12,0,0,0.0192,0,0,0,0
TCK-000155,55,8,0,0,0.0217,1,0,1,0
TCK-000156,61,10,0,0,0.02,1,0,1,0
TCK-000157,161,27,0,0,0.0227,2,0,0,1
TCK-000158,57,10,1,0,0.0213,0,0,0,0
TCK-000159,61,11,0,0,0.0408,0,0,0,1
TCK-000160,100,17,1,0,0.0247,0,0,0,0
TCK-000161,57,10,1,0,0.0213,0,0,0,0
TCK-000162,167,29,0,0,0.0224,2,1,0,0
TCK-000163,53,9,0,0,0.0227,0,0,0,0
TCK-000164,64,9,0,0,0.037,1,0,0,0
TCK-000165,53,9,0,0,0.0227,0,0,0,0
TCK-000166,54,10,0,0,0.0233,0,0,0,0
TCK-000167,61,10,0,0,0.02,1,0,1,0
TCK-000168,62,11,0,0,0.02,1,1,0,0
TCK-000169,133,23,0,0,0.0278,0,0,0,0
TCK-000170,45,8,0,0,0.027,0,0,0,0
TCK-000171,55,8,0,0,0.0217,1,0,1,0
TCK-000172,149,25,0,0,0.0246,0,0,0,0
TCK-000173,171,31,0,0,0.0217,0,0,0,0
TCK-000174,55,8,0,0,0.0217,1,0,1,0
TCK-000175,59,10,0,0,0.0204,1,0,0,1
TCK-000176,55,10,0,0,0.0222,0,0,0,0
TCK-000177,59,10,0,0,0.0204,1,0,0,1
TCK-000178,55,8,0,0,0.0638,0,0,0,0
TCK-000179,59,9,1,0,0.0204,0,0,0,0
