ticket_id,created_at,channel,product,category,priority,customer_tier,customer_id,agent_id,region,backlog_at_creation,first_response_minutes,resolution_minutes,reopened,csat_score,csat_missing,created_date,created_hour,created_weekday,created_month,sla_minutes,sla_breach
TCK-000001,2025-09-26 13:11:00,Telefone,App Mobile,Dúvida / Como Fazer,Média,Premium,CUST-01369,AGT-068,Norte,46,157.4,281.6,0,,1,2025-09-26,13,4,9,1440,0
TCK-000002,2025-03-02 07:24:00,Email,Relatórios,Bug / Defeito,Baixa,Basic,CUST-00720,AGT-044,Sul,17,213.1,1896.6,0,5.0,0,2025-03-02,7,6,3,2880,0
TCK-000003,2025-10-18 10:09:00,Email,Relatórios,Dúvida / Como Fazer,Alta,Enterprise,CUST-00199,AGT-033,Nordeste,49,79.9,187.9,0,,1,2025-10-18,10,5,10,480,0
TCK-000004,2025-10-18 20:20:00,Email,Faturamento,Bug / Defeito,Baixa,Premium,CUST-02092,AGT-001,Norte,41,200.4,1232.5,0,4.0,0,2025-10-18,20,5,10,2880,0
TCK-000005,2025-10-18 03:26:00,Telefone,Integrações,Bug / Defeito,Média,Premium,CUST-00236,AGT-039,Centro-Oeste,23,60.3,492.8,0,5.0,0,2025-10-18,3,5,10,1440,0
TCK-000006,2025-06-02 13:19:00,Formulário Web,Relatórios,Problema Técnico,Média,Basic,CUST-01064,AGT-029,Sudeste,40,164.3,849.0,0,5.0,0,2025-06-02,13,0,6,1440,0
TCK-000007,2025-12-17 06:54:00,Email,Faturamento,Dúvida / Como Fazer,Média,Basic,CUST-01579,AGT-025,Sudeste,6,103.8,305.5,0,,1,2025-12-17,6,2,12,1440,0
TCK-000008,2025-09-14 23:19:00,Email,API,Dúvida / Como Fazer,Média,Free,CUST-00332,AGT-032,Sul,37,147.6,298.8,0,4.0,0,2025-09-14,23,6,9,1440,0
TCK-000009,2025-03-10 16:51:00,Chat,Faturamento,Faturamento,Média,Free,CUST-00467,AGT-035,Norte,58,93.6,458.3,0,5.0,0,2025-03-10,16,0,3,1440,0
TCK-000010,2025-09-02 23:02:00,Formulário Web,Plataforma Web,Acesso e Conta,Crítica,Basic,CUST-00717,AGT-034,Norte,37,31.9,141.9,0,5.0,0,2025-09-02,23,1,9,240,0
TCK-000011,2025-03-31 00:19:00,Email,Integrações,Solicitação de Recurso,Baixa,Basic,CUST-00309,AGT-020,Sudeste,61,170.4,1789.0,0,5.0,0,2025-03-31,0,0,3,2880,0
TCK-000012,2025-11-27 12:27:00,Redes Sociais,Integrações,Solicitação de Recurso,Alta,Free,CUST-01617,AGT-036,Nordeste,40,69.8,4229.4,0,,1,2025-11-27,12,3,11,480,1
TCK-000013,2025-11-20 11:57:00,Formulário Web,API,Solicitação de Recurso,Média,Free,CUST-01067,AGT-026,Sudeste,79,298.5,4852.7,0,3.0,0,2025-11-20,11,3,11,1440,1
TCK-000014,2025-07-02 05:55:00,Email,Relatórios,Faturamento,Alta,Free,CUST-00833,AGT-068,Sudeste,27,30.0,490.9,0,,1,2025-07-02,5,2,7,480,1
TCK-000015,2025-06-08 08:24:00,Telefone,Plataforma Web,Faturamento,Baixa,Premium,CUST-02147,AGT-010,Sudeste,38,253.1,791.8,0,4.0,0,2025-06-08,8,6,6,2880,0
TCK-000016,2025-01-03 09:02:00,Email,Faturamento,Acesso e Conta,Média,Basic,CUST-01947,AGT-029,Norte,85,141.1,425.5,0,4.0,0,2025-01-03,9,4,1,1440,0
TCK-000017,2025-04-16 19:08:00,Telefone,Relatórios,Dúvida / Como Fazer,Baixa,Basic,CUST-01958,AGT-042,Sul,14,518.8,588.2,0,,1,2025-04-16,19,2,4,2880,0
TCK-000018,2025-04-27 08:01:00,Telefone,API,Solicitação de Recurso,Baixa,Free,CUST-00500,AGT-057,Norte,25,179.6,1271.3,0,4.0,0,2025-04-27,8,6,4,2880,0
TCK-000019,2025-12-26 07:32:00,Telefone,Faturamento,Problema Técnico,Baixa,Basic,CUST-02153,AGT-022,Nordeste,30,736.8,2688.7,0,5.0,0,2025-12-26,7,4,12,2880,0
TCK-000020,2025-05-28 11:51:00,Email,Plataforma Web,Acesso e Conta,Média,Basic,CUST-00278,AGT-004,Sul,20,107.6,309.8,0,,1,2025-05-28,11,2,5,1440,0
TCK-000021,2025-10-14 05:02:00,Chat,Relatórios,Dúvida / Como Fazer,Baixa,Basic,CUST-02167,AGT-032,Sul,33,240.1,529.0,0,5.0,0,2025-10-14,5,1,10,2880,0
TCK-000022,2025-11-08 18:42:00,Email,Faturamento,Problema Técnico,Média,Premium,CUST-01744,AGT-064,Sul,73,226.9,868.2,0,,1,2025-11-08,18,5,11,1440,0
TCK-000023,2025-12-14 15:59:00,Telefone,Integrações,Problema Técnico,Alta,Free,CUST-02389,AGT-010,Sul,65,54.6,791.9,1,3.0,0,2025-12-14,15,6,12,480,1
TCK-000024,2025-03-03 05:13:00,Telefone,Plataforma Web,Dúvida / Como Fazer,Crítica,Free,CUST-01353,AGT-043,Norte,50,41.8,230.5,0,4.0,0,2025-03-03,5,0,3,240,0
TCK-000025,2025-03-18 00:23:00,Telefone,Faturamento,Acesso e Conta,Baixa,Free,CUST-02396,AGT-054,Centro-Oeste,49,143.7,364.0,0,5.0,0,2025-03-18,0,1,3,2880,0
TCK-000026,2025-05-12 16:27:00,Telefone,App Mobile,Cancelamento,Média,Basic,CUST-02467,AGT-065,Centro-Oeste,67,174.3,522.0,0,,1,2025-05-12,16,0,5,1440,0
TCK-000027,2025-09-21 17:50:00,Telefone,Integrações,Dúvida / Como Fazer,Baixa,Basic,CUST-00249,AGT-032,Norte,29,246.1,387.9,0,3.0,0,2025-09-21,17,6,9,2880,0
TCK-000028,2025-02-19 19:57:00,Email,Integrações,Solicitação de Recurso,Baixa,Premium,CUST-00063,AGT-046,Sul,43,247.0,2514.4,0,4.0,0,2025-02-19,19,2,2,2880,0
TCK-000029,2025-12-18 13:31:00,Email,Faturamento,Dúvida / Como Fazer,Baixa,Free,CUST-02548,AGT-056,Sudeste,9,272.6,548.8,0,,1,2025-12-18,13,3,12,2880,0
TCK-000030,2025-02-01 09:34:00,Chat,Integrações,Acesso e Conta,Baixa,Free,CUST-01425,AGT-044,Sudeste,41,304.1,751.2,0,,1,2025-02-01,9,5,2,2880,0
TCK-000031,2025-05-16 11:19:00,Formulário Web,API,Acesso e Conta,Média,Free,CUST-01070,AGT-012,Sudeste,42,125.3,381.0,0,5.0,0,2025-05-16,11,4,5,1440,0
TCK-000032,2025-06-18 12:07:00,Telefone,API,Problema Técnico,Média,Premium,CUST-00411,AGT-011,Sul,58,130.1,1058.5,0,5.0,0,2025-06-18,12,2,6,1440,0
TCK-000033,2025-12-02 23:12:00,Email,Relatórios,Dúvida / Como Fazer,Média,Basic,CUST-01564,AGT-022,Centro-Oeste,24,158.4,277.4,0,,1,2025-12-02,23,1,12,1440,0
TCK-000034,2025-07-12 03:03:00,Chat,App Mobile,Dúvida / Como Fazer,Média,Premium,CUST-01377,AGT-044,Centro-Oeste,34,111.3,217.6,0,,1,2025-07-12,3,5,7,1440,0
TCK-000035,2025-10-27 23:43:00,Email,Plataforma Web,Problema Técnico,Alta,Basic,CUST-02258,AGT-059,Norte,24,47.0,338.3,0,,1,2025-10-27,23,0,10,480,0
TCK-000036,2025-01-28 23:06:00,Email,Integrações,Bug / Defeito,Baixa,Basic,CUST-01305,AGT-067,Nordeste,37,230.8,1643.9,0,5.0,0,2025-01-28,23,1,1,2880,0
TCK-000037,2025-03-15 04:12:00,Formulário Web,Relatórios,Faturamento,Baixa,Free,CUST-02490,AGT-039,Sul,54,487.8,1077.0,0,5.0,0,2025-03-15,4,5,3,2880,0
TCK-000038,2025-03-12 22:49:00,Email,Integrações,Acesso e Conta,Baixa,Enterprise,CUST-00501,AGT-021,Nordeste,50,190.1,422.7,0,,1,2025-03-12,22,2,3,2880,0
TCK-000039,2025-12-06 23:00:00,Chat,Faturamento,Dúvida / Como Fazer,Alta,Free,CUST-02291,AGT-024,Centro-Oeste,40,44.4,146.3,0,4.0,0,2025-12-06,23,5,12,480,0
TCK-000040,2025-04-05 14:18:00,Email,Plataforma Web,Bug / Defeito,Alta,Basic,CUST-00823,AGT-014,Nordeste,40,67.9,1056.8,1,,1,2025-04-05,14,5,4,480,1
TCK-000041,2025-04-14 22:14:00,Formulário Web,Integrações,Cancelamento,Média,Basic,CUST-01339,AGT-050,Sul,24,75.5,308.7,0,,1,2025-04-14,22,0,4,1440,0
TCK-000042,2025-01-02 17:16:00,Telefone,Relatórios,Cancelamento,Crítica,Free,CUST-01656,AGT-024,Sudeste,28,20.8,252.6,0,,1,2025-01-02,17,3,1,240,1
TCK-000043,2025-01-21 02:16:00,Redes Sociais,API,Acesso e Conta,Média,Premium,CUST-00620,AGT-003,Sul,39,188.4,337.3,0,,1,2025-01-21,2,1,1,1440,0
TCK-000044,2025-12-14 09:03:00,Telefone,App Mobile,Solicitação de Recurso,Baixa,Free,CUST-01154,AGT-001,Sul,40,371.9,1622.0,0,,1,2025-12-14,9,6,12,2880,0
TCK-000045,2025-07-20 15:04:00,Telefone,API,Problema Técnico,Alta,Free,CUST-00298,AGT-019,Nordeste,31,96.7,737.3,0,3.0,0,2025-07-20,15,6,7,480,1
TCK-000046,2025-03-22 02:44:00,Telefone,Plataforma Web,Faturamento,Crítica,Premium,CUST-01289,AGT-064,Nordeste,26,21.8,281.7,1,2.0,0,2025-03-22,2,5,3,240,1
TCK-000047,2025-07-24 13:42:00,Email,API,Cancelamento,Alta,Basic,CUST-01005,AGT-017,Sul,60,62.9,265.6,0,5.0,0,2025-07-24,13,3,7,480,0
TCK-000048,2025-11-11 06:04:00,Formulário Web,Integrações,Solicitação de Recurso,Baixa,Basic,CUST-01651,AGT-031,Sudeste,52,208.2,1818.2,0,5.0,0,2025-11-11,6,1,11,2880,0
TCK-000049,2025-09-27 19:49:00,Chat,Plataforma Web,Dúvida / Como Fazer,Crítica,Basic,CUST-02438,AGT-067,Norte,15,26.8,89.8,0,4.0,0,2025-09-27,19,5,9,240,0
TCK-000050,2025-02-25 07:00:00,Email,API,Acesso e Conta,Média,Free,CUST-00600,AGT-029,Nordeste,42,91.1,252.2,0,4.0,0,2025-02-25,7,1,2,1440,0
TCK-000051,2025-05-02 16:10:00,Email,Relatórios,Solicitação de Recurso,Baixa,Free,CUST-02244,AGT-048,Centro-Oeste,57,336.9,3610.9,0,3.0,0,2025-05-02,16,4,5,2880,1
TCK-000052,2025-06-23 13:23:00,Email,Plataforma Web,Cancelamento,Baixa,Free,CUST-01836,AGT-043,Norte,73,429.2,1972.9,1,4.0,0,2025-06-23,13,0,6,2880,0
TCK-000053,2025-01-29 23:56:00,Chat,Relatórios,Solicitação de Recurso,Baixa,Enterprise,CUST-02364,AGT-068,Sudeste,13,357.1,1893.2,0,5.0,0,2025-01-29,23,2,1,2880,0
TCK-000054,2025-04-21 01:08:00,Email,Integrações,Acesso e Conta,Média,Free,CUST-02197,AGT-049,Sudeste,54,166.3,352.1,0,4.0,0,2025-04-21,1,0,4,1440,0
TCK-000055,2025-07-29 00:46:00,Redes Sociais,Integrações,Cancelamento,Baixa,Free,CUST-01009,AGT-009,Centro-Oeste,30,199.8,502.8,0,5.0,0,2025-07-29,0,1,7,2880,0
TCK-000056,2025-08-15 04:26:00,Email,Relatórios,Solicitação de Recurso,Baixa,Basic,CUST-02181,AGT-018,Sul,10,425.4,2427.4,0,,1,2025-08-15,4,4,8,2880,0
TCK-000057,2025-12-09 21:47:00,Formulário Web,API,Bug / Defeito,Média,Free,CUST-01113,AGT-029,Centro-Oeste,35,83.2,1622.3,1,2.0,0,2025-12-09,21,1,12,1440,1
TCK-000058,2025-08-27 06:19:00,Chat,API,Bug / Defeito,Alta,Enterprise,CUST-00231,AGT-052,Centro-Oeste,37,41.2,524.8,0,4.0,0,2025-08-27,6,2,8,480,1
TCK-000059,2025-08-17 17:31:00,Telefone,Relatórios,Acesso e Conta,Crítica,Basic,CUST-01635,AGT-028,Sul,109,72.9,311.4,0,3.0,0,2025-08-17,17,6,8,240,1
TCK-000060,2025-03-14 08:12:00,Email,Plataforma Web,Acesso e Conta,Baixa,Premium,CUST-01891,AGT-017,Sul,28,140.5,306.5,0,4.0,0,2025-03-14,8,4,3,2880,0
TCK-000061,2025-03-27 10:07:00,Telefone,Faturamento,Acesso e Conta,Média,Enterprise,CUST-02297,AGT-008,Centro-Oeste,48,170.1,275.9,0,,1,2025-03-27,10,3,3,1440,0
TCK-000062,2025-09-29 04:20:00,Chat,API,Acesso e Conta,Baixa,Free,CUST-02123,AGT-059,Norte,19,327.4,485.5,0,,1,2025-09-29,4,0,9,2880,0
TCK-000063,2025-08-09 05:28:00,Formulário Web,Plataforma Web,Problema Técnico,Média,Basic,CUST-00113,AGT-015,Sudeste,67,104.4,745.5,0,5.0,0,2025-08-09,5,5,8,1440,0
